;en;eo;uk
menu_equip;Equip;;
menu_forge;Forge;;
menu_stash;Stash;;
menu_craft;Craft;;
menu_shop;Shop;;
menu_shop_equipment;Equipment;;
menu_shop_consumables;Consumables;;
;;;
button_sell;Sell;;
button_reroll_store;Refresh;;
button_clear_filter;Clear Filter;;
button_sort;Sort;;
;;;
input_click;Click;;
;;;
item_tt_price;Price:;;
item_tt_left_in_stock;In Stock: %s;;
item_tt_crafting_in;[b]Requires:[/b];;
item_tt_crafting_out;[b]Gives:[/b];;
item_tt_have_items;(have %s);;
item_tt_items_or; or ;Mind the spaces.;
item_tt_tutorial_filter;%s to highlight same items.;;
item_tt_tutorial_filter_bonus;%s to highlight items with this.;;
item_tt_tutorial_price_lite;%s to highlight what's left.;;
item_tt_tutorial_price;%s+%s to highlight all requirements.;;
;;;
shopkeeper_hello;Welcome! Check out my wares!;;
shopkeeper_purchase;Hohoho! Hope you enjoy it!;;
shopkeeper_cant_afford;Hah! Out of your league. Come back when you're... a little richer!;;
shopkeeper_sold;Mmm... a fine addition to my collection!;;
;;;
no_weapon;Left Hook Right Hook Jab;Shown if player has no weapon equipped.;
;;;
stats_resistances;Resistances;;
stats_hp;Health;;
stats_mp;Magic Energy;;
stats_damage;Damage Per Second:;;
stats_crit;Chance for x%s Damage:;;
stats_defensive;Defensive;;
stats_offensive;Offensive;;
